Index,Period_3_commu,Period_1_commu,Period_2_commu,Background
2146686226,3,,,computer science
2155198065,3,,,medicine
2315090362,3,,,computer science
2370467627,3,,123,geology
2395136205,3,,,computer science
2483161699,3,,,sociology
2562813984,3,,,political science
2786251883,3,,,sociology
15261213,3,,,psychology
2396235263,3,,,medicine
2567183637,3,,,engineering
2602465815,3,,,medicine
2760023042,3,,,medicine
8936200,5,,,computer science
2020627606,5,,,geography
2118208176,5,,,computer science
2145734589,5,,,computer science
294844282,5,,,mathematics
2015404627,5,,,art
2151095372,5,,,engineering
2133400903,5,,,computer science
2186434428,5,,,computer science
2155305348,5,,,computer science
2056061300,5,,,computer science
2153254466,5,,,geography
2177622678,5,,,environmental science
2183199112,5,,,computer science
2273885593,5,,,computer science
2580884060,5,,,computer science
2663559199,5,,,medicine
2716206689,5,,,medicine
2884180468,5,,,economics
92283206,5,,,computer science
2635382153,5,,,economics
9794895,4261,,,political science
18511270,4261,,,political science
9812142,162,,,computer science
2011351983,162,,,engineering
2225947635,162,,,computer science
2580439072,162,,,computer science
1792964119,162,,,computer science
2026599177,162,,,computer science
2395113539,162,,,computer science
2918069459,162,,,computer science
2266751337,162,,,computer science
10332275,568,,,biology
1856781003,568,,,economics
1978603305,568,,,medicine
2038389694,568,,,psychology
2898566323,568,,,computer science
2012079198,568,,,psychology
2111004974,568,,,psychology
2967423478,568,,,psychology
10395282,462,,107,computer science
178909226,462,,107,medicine
1613619093,462,,107,computer science
2135375555,462,,107,economics
2703876371,462,,107,computer science
2763325597,462,,107,computer science
10454596,621,,,medicine
1913926610,621,,680,sociology
1977284060,621,,680,medicine
1985078566,621,,,psychology
2721124468,621,,680,sociology
2111776968,621,,,sociology
2345071212,621,,,medicine
10570214,3,,,psychology
2022670360,3,,261,medicine
2058434039,3,,261,psychology
2141933298,3,,,medicine
2305663934,3,,,medicine
230274216,3,,,psychology
1915684033,3,,126,biology
2197832303,3,,,biology
2095198034,3,,261,medicine
2653103247,3,,261,medicine
2134243645,3,,,engineering
2889437936,3,,,medicine
2900753550,3,,,psychology
165877950,3,,126,medicine
676414453,3,,126,computer science
2105373527,3,,126,medicine
2154222003,3,,126,mathematics
2101382037,3,,126,medicine
2226400895,3,,126,medicine
140012890,3,,,psychology
1673291872,3,,,computer science
2119212345,3,,,computer science
2161681692,3,,,computer science
2912772194,3,,,computer science
2914337306,3,,,computer science
2800621516,3,,,computer science
2898463310,3,,,psychology
2590436594,3,,,psychology
2767380603,3,,,psychology
205956426,3,,692,psychology
1984585465,3,,,computer science
2305606795,3,,442,psychology
10967082,1122,,558,computer science
2101029346,1122,,,computer science
2105560112,1122,,558,computer science
2117560593,1122,,,mathematics
2128951412,1122,,558,computer science
613661480,20,,,computer science
2124036869,20,,,computer science
1823154319,20,,,computer science
2124967265,20,,,engineering
2336112276,20,,503,sociology
2518499882,20,,,psychology
1227564811,35,,,computer science
2165699372,35,,,engineering
2044533817,35,,,computer science
2141504082,35,,,computer science
2148289271,35,,,computer science
2250494766,35,,,computer science
2476724284,35,,,political science
2885607433,35,,,geography
1482497127,35,,,computer science
2139489963,35,,,mathematics
2151311391,35,,,medicine
2768936441,35,,,medicine
2463320699,35,,,medicine
2586854598,35,,,medicine
2894717467,35,,,medicine
2588650209,35,,,medicine
2977249569,35,,,medicine
241805189,389,,,computer science
2662783544,389,,,computer science
1969535890,389,,,psychology
2153556101,389,,,psychology
2166055689,389,,,computer science
2521261347,389,,,psychology
11371615,86,,,computer science
